Company,Address,Postcode,Mobile,Allow SMS,Email,Allow Email,Managed,Account Manager
Beale Garage,"Bank Street, Coleford",GL16 8BA,,no,bealegarage@btconnect.com,no,No,
Beautiful Flowers,"6 Parkend Road, Bream",GL15 6JY,07951 011553,yes,johnbrentflowers@icloud.com,yes,No,
Bennettt Tree Care,"The Brambles, 10 Tudor Walk, Berry Hill, Coleford",GL16 &AE,07949,yes,jamie.c.bennett94@hotmail.co.uk,yes,No,
Bentley`s,"Westwinds House, Hillersland, Coleford, Glos",GL16 7NX,07811 293980,yes,bentleysdecorating@gmail.com,yes,Yes,Jane Eveleigh
Besecure Protection Systems Ltd,"Hagley Showrooms, Bartestree, Hereford",HR1 4BX,07809 723344,no,hayleyalderson@besecure.org.uk,no,Yes,Sam Bray
Blacksmiths Arms. The,"Alvington,Nr Lydney",GL15 6AU,,yes,blacksmithsinn@aol.com,yes,No,
Blake. Gordon,"The Autumn Leaves Funeral Home.Albert Street, Lydney, Glos",GL15 5LU,,yes,jane@ernest-heal.co.uk,yes,Yes,Jane Eveleigh
Bohemia Salon & Spa,"5 High Street, Lydney",GL15 5DP,,yes,bohemiasalon@gmail.com,yes,No,
Box And Company,"5a Newerne St, Lydney",GL15 5RA,,yes,jeremy@boxandcompany.co.uk,yes,Yes,Jane Eveleigh
Brad Willetts Electrician,"The Old School House,High Street,Bream",GL15 6JW,07833 994853,yes,bradwillettselectrician@hotmail.com,yes,No,
Bryan James & Co Ltd,"21 Newerne Street, Lydney, Glos",GL15 5RA,,yes,michael.wilding@bryanjames.co.uk,yes,Yes,Jane Eveleigh
Bryn Powell - the Plan Man,"Little Oaks,Church Hill,Lydbrook,Glos",GL17 9SN,,yes,bpowellplanman@aol.com,yes,Yes,Amber Sharpe
Buds To Bloom Pre-School,"The Old Vicarage, Church Rd, Lydney",GL15 5EG,07546 804442,yes,,yes,No,
BWC Groundworks Ltd,"The Verlands, Beaufort Road, Osbaston,",NP25 3HU,07734 924077,yes,ben@bwcgroundworks.co.uk,yes,Yes,Amber Sharpe
C & R Vehicle Repair Centre,"Unit 10 Mead Lane Ind Est,Lydney",GL15 5DA,07966 464763,yes,candr@candrvehiclerepair.co.uk,yes,No,
C J Flooring,"New Dunn Works, Sling, Coleford",GL16 8JD,07532 308276,yes,cjflooring@btconnect.com,yes,Yes,Jane Eveleigh
Cafe Express,"Unit 13 Forest Of Dean Business Est, Stepbridge Rd, Coleford",GL16 8PJ,,yes,jac.2803@gmail.com,yes,Yes,Amber Sharpe
Caroline Linnell,"May Cottage, Sandford Hill, Alvington, Lydney",GL15 6PZ,07779 316309,yes,carolinelinnell@hotmail.co.uk,yes,No,
Carolines School Of Motoring,"67 Birchwood Rd, Netherend, Lydney",GL15 6PE,07761 110858,yes,rob@tjsgroup.co.uk,yes,No,
Carol`s Kennels & Cattery,"Station Rd, Woolaston, Lydney",GL15 6PN,,yes,,yes,Yes,Joanne Collins
Carrot Tops Mobile Surgery For Pets,"50B Railway Road, Ruspidge",GL14 3HL,07388,yes,enquiries@carrottopsmobilesurgery.co.uk,yes,No,
CDS Hire Ltd,"Unit 1F Mushet Business Centre, Crucible Close, Coleford,",GL16 8RE,,yes,info@cdshire.com,yes,Yes,Jane Eveleigh
Chris Beverstock Aerial Systems,"59 High St, Aylburton, Lydney",GL15 6DE,07765 934014,yes,chrisbeverstock@gmail.com,yes,Yes,Amber Sharpe
Claire Shirley At Total Foot Care,"The Beeches, 93 High Street, Aylburton",GL15 6DL,07780 524056,yes,claireshirley@btinternet.com,yes,Yes,Jo Hughes
Clearway Conservatories,"1 New Road, Whitecroft, Lydney.",GL15 4QF,,yes,info@clearwayconservatories.co.uk,yes,Yes,Jane Eveleigh
Coinros Park Garden Centre,"Lydney Park,Lydney",GL15 6BU,,yes,coinrospark@hotmail.co.uk,yes,No,
Coleford Computers,"21 St John St, Coleford",GL16 8AP,,yes,sales@coleford-computers.co.uk,yes,Yes,Amber Sharpe
Coleford Garden Centre,"Lambsquay Road,Milkwall,Coleford",GL16 8QA,,yes,,yes,No,
Colin Biddle,"18 Auden Close, Monmouth",NP25 3NW,07790 317612,yes,repose_cb@yahoo.co.uk,yes,Yes,Jane Eveleigh
Colin Watkins - The Locksmiths & Security Centre,"3 Bellevue Rd, Cinderford",GL14 2AA,07788 848729,no,colinslocks@gmail.com,no,Yes,Jane Eveleigh
Collier & Brain Ltd,"The Cross, Drybrook",GL17 9ED,,yes,julie.turner@ernest-heal.co.uk,yes,Yes,Jane Eveleigh
Computer Problems?,"1 Boseley Way, Cinderford",GL14 2JH,07748 387664,yes,,yes,No,
Cosy Cuts,"52 North Road, Broadwell, Forest Of Dean",GL16 7DR,07503 897 894,yes,mmorgs@hotmail.co.uk,yes,No,
Court Garden Services,"1 The Haie, Newnham-on-Severn",GL14 1HW,07564 296516,yes,garyamos1957@gmail.com,yes,Yes,Jane Eveleigh
Cozy Cats Boarding Cattery,"Primrose Cottage,Ashdene Road,The Pludds,Glos",GL17 9UQ,,yes,mark.rudge2012@btinternet.com,yes,Yes,Jane Eveleigh
CPL County Property Lettings,"15a High Street, Cinderford,",GL14 2SE,,yes,cinderford@kjtoombs.co.uk,yes,No,
Crazy Daisy Balloons,"24a Barleycorn Square, Cinderford",GL14 2LF,07870 695708,yes,djelf86@aol.com,yes,Yes,Amber Sharpe
Cream-Xtendz Hairdressers,"1 Goscox Court, Hill St, Lydney",GL15 5HJ,07827 334878,yes,pollyrella@hotmail.com,yes,No,
Creative Needles,"Harts Barn, Longhope, Gloucester",GL17 0QD,,yes,naomi@creativeneedles.co.uk,yes,No,
D S Flooring,"Mount Merrion, Palmers Flat, Coleford",GL16 7HU,07985 668585,yes,dja@smailes.co.uk,yes,Yes,Amber Sharpe
Davey. Roger,"Fetterhill, Coleford, Glos",GL16 7LU,07379 365999,no,roger@daveyelectrical.co.uk,no,Yes,Jane Eveleigh
David Biggs,"New House, Kettlebottom, Hope Mansel, Ross-on-Wye",HR9 5TJ,07584 427749,no,dbiggs03@gmail.com,no,Yes,Amber Sharpe
Dean Conveyancing,"31 Market Place, Coleford",GL16 8AA,,yes,coleford@deanconvey.co.uk,yes,Yes,Amber Sharpe
Dean Estate Agents,"15 Nightjar Road, Brockworth, Glos",GL3 4RN,,yes,allan@deanestateagents.co.uk,yes,No,
Dean Lawson Property Services,"2 Biffin Close, Evesham,",WR11 3JB,07702 473526,no,dean383@btinternet.com,no,Yes,Sam Bray
Dean Mowers Ltd,"Central Garage, High Street, Blakeney",GL15 4EB,,yes,admin@deanmowers.co.uk,yes,Yes,Amber Sharpe
Dean Truck Light Commercials,"Unit 1 Allaston Grove Sawmills, Allaston Road, Lydney",GL15 4EX,07946 486641,yes,deantruck@mail.com,yes,No,
DFine Wedding Photography Team,"2 Sabrina Way, Lydney, Glos",GL15 5NZ,07776 234314,yes,dfinephotography@gmail.com,yes,No,
Diva Nails & Beauty,"Shop 2 Central House,Dean Road,Newnham-on-Severn",GL14 1AB,,yes,louisehale01@hotmail.co.uk,yes,No,
Diverse Pest Control,"61 Tutnalls Street, Lydney",GL15 5PG,07969 759566,yes,simonburke@msn.com,yes,Yes,Amber Sharpe
DKM Handyman Services Ltd,"Daisy Bank Cottage, Wintles Hill, Westbury On Severn, Glos",GL14 1QA,07886 186412,yes,dkmhandymanservices@gmail.com,yes,Yes,Jane Eveleigh
Dogs Delight,"Tally Ho,Bromsash,Nr Lea,Ross-on-Wye",HR9 7PW,,yes,sharon73737@live.com,yes,No,
Door Doctor,"49 North Road, Broadwell, Coleford",GL16 7BX,07966 464742,yes,door.doctor@btinternet.com,yes,Yes,Jane Eveleigh
DyerArts,"Redland Cottage, Church Walk, Viney Hill, Lydney",GL15 4NY,07901 551797,yes,mikejdyer@hotmail.com,yes,Yes,Amber Sharpe
Elizabeth Kendal Osteopath,"Cock Shoots Farm, Dean Road, Newnham",GL14 1H8,07740 178577,yes,elizabethkendal@hotmail.co.uk,yes,No,
Ellwood Nursery,"Old School House, Bromley Road, Ellwood, Coleford",GL16 7LY,,yes,paul.cornock@miarosenurseries.co.uk,yes,No,
Elsmore Langridge,"Copper Beech, Hillers Land Lane, Christchurch, Nr Coleford",GL16 7NU,07787 825964,yes,markelsmore563@btinternet.com,no,Yes,Amber Sharpe
Equipment Hire Services,"Rear of 15 High St,Lydney",GL15 5DP,,yes,,yes,No,
Ernest Heal & Sons,"5 South Rd, Broadwell, Coleford",GL16 7BH,07836 324588,yes,julie.turner@ernest-heal.co.uk,yes,Yes,Jane Eveleigh
Everything Man,"Old Cross Keys, High Street, Bream, Lydney",GL15 6EH,,yes,john.dutson@hotmail.co.uk,yes,Yes,Jane Eveleigh
Express Windows Coleford Ltd,"Unit 13 Forest Of Dean Business Est, Stepbridge Rd, Coleford",GL16 8PJ,07403 652793,no,expresswindowsltd@gmail.com,no,Yes,Jane Eveleigh
Fast Cabs,"Forge Bungalow, New Rd, Bream, Lydney",GL15 6HJ,07943 101 300,yes,fast.cabs@outlook.com,yes,No,
Forest Driveways,"2 Glencoe Villas, Brook Lane, Bream, Lydney",GL15 6BP,07977 053420,yes,karenweaver1959@gmail.com,yes,No,
Forest Hills Golf Club,"Mile End Road, Coleford",GL16 7QD,,yes,alison@foresthillsgolfclub.co.uk,yes,Yes,Jane Eveleigh
Forest Metals,"Unit 16 & 16a New Dean Business Park, Sling, Coleford",GL16 8JD,,yes,admin@smcw.co.uk,yes,Yes,Jane Eveleigh
Forest Of Dean Mobility Limited,"28 Newerne Street, Lydney",GL15 5RF,07704 093489,yes,mark@forestofdeanmobility.co.uk,yes,Yes,Jane Eveleigh
Forest Of Dean Tyres Ltd,"Whitecroft, Lydney",GL15 4QF,,yes,info@forestofdeantyres.com,yes,Yes,Jane Eveleigh
Forest Refrigeration,"Eastbourne House,Wynols Hill Lane,Gloucester Rd,Coleford",GL16 8BP,07747 083339,yes,,yes,No,
Forest Tackle,"18 Newerne St, Lydney",GL15 5RF,,yes,mark@foresttackle.co.uk,yes,No,
Forevergreen Ltd,"Greenacres, Scowles Road, Coleford, Glos",GL16 8QS,07773 420224,yes,forevergreenltd@btinternet.com,yes,Yes,Jane Eveleigh
Forget Me Not,"7 Pyart Court, Coleford",GL16 8RG,,yes,flowers@forgetmenot-coleford.com,yes,No,
G K Cleaning,"1 Darren Rd, Five Acres, Coleford, Glos",GL16 7QZ,07894 325234,yes,juliemichael950@btinternet.com,yes,No,
G P Construction Ltd,"Roamers Haven, Morse Road, Drybrook",GL17 9AT,07833 240340,yes,info@gpconstruction.co,yes,Yes,Jane Eveleigh
Gavin Evans Plumbing Services,"45 Oak Field, Cinderford",GL14 2DE,07538 990993,no,gavinevansplumbing@hotmail.com,no,No,
Gillian Morse-Evans,"The Homestead, New Mills, Forest Rd, Lydney",GL15 4ET,07909 501872,yes,gillian244309@hotmail.co.uk,yes,No,
Great Oaks,"The Gorse, Coleford, Gloucestershire",GL16 8QE,,yes,sophie.powell@great-oaks.org.uk,yes,No,
Green Man Stoves,"The Forge, Weston-under-Penyard, Ross-on-Wye",HR9 7NX,07766 112332,yes,info@greenmanstoves.co.uk,yes,Yes,Jane Eveleigh
Hale & Co (Drybrook) Ltd,"Nailbridge, Drybrook",GL17 9JW,,yes,nigel@haleco.co.uk,yes,Yes,Amber Sharpe
Hales Hire,"Nailbridge, Drybrook",GL17 9JW,,yes,rik@haleco.co.uk,yes,Yes,Amber Sharpe
Hancock Building Services Ltd,"16 Church Road, Cinderford",GL14 2DU,07867 415179,yes,info@hancockbuildingservices.co.uk,yes,No,
Happy Turtles Cinderford (Lunaland),"Whimsey Ind. Est., Steam Mills Rd, Cinderford",GL14 3JA,07702 013245,yes,cinderford@happyturtles.co.uk,yes,No,
Hedges Re-Upholstery,"3 Hillcrest Lane, Broadwell, Coleford",GL16 7DN,,yes,hedgesupholstery@btinternet.com,yes,Yes,Amber Sharpe
High Hopes Partnership,"2 Grove Lane, Lydney",GL15 5SU,,yes,juliekirkham@msn.com,yes,No,
Highbury Home & Garden,"2 Stockwell Green, Cinderford",GL14 2EH,07881 900072,yes,HHG.Adrian@hotmail.com,yes,No,
Hunt Gas & Heating Ltd,"Forest View, Spout Lane, Drybrook, Gloucester",GL17 9AW,07977 841370,yes,stewarthunt@hotmail.co.uk,yes,Yes,Jane Eveleigh
IJJ Carpentry,"Treetops, Bromley Road, Ellwood, Coleford",GL16 7LY,07799 673546,yes,info@ijjcarpentry.co.uk,yes,No,
Iron Lady,"13 Cherry Walk, Lydney",GL15 5LL,07799 700090,yes,trudyhannaford@hotmail.com,yes,No,
J C Plumbing & Heating,"Laburnum, Forest Road, Ruardean Woodside, Gloucestershire",GL17 9XR,07967 209981,yes,,yes,Yes,Jane Eveleigh
J S Hall Services,"Greenway Barn, Greenway, Littledean",GL14 3LL,07849 690564,yes,jeff.hall178@gmail.com,yes,Yes,Amber Sharpe
J.S.W House Clearance,"Krowdrah, Ellwood Road, Milkwall, Coleford",GL16 7LE,07899880528,yes,sbeach@gmail13.co.uk,yes,Yes,Amber Sharpe
JAS Gas Services,"2 Temple Way, Lydney, Glos",GL15 5HU,07891 740692,yes,jasgas@btopenworld.com,yes,No,
Jennie Booth,"Chamonix, Silver Street, Littledean",GL15 4ED,07775 858846,yes,jbacupuncture@yahoo.co.uk,yes,Yes,Amber Sharpe
Juniper Building,"Damson Cottage, Staunton Road, Coleford",GL16 8EA,07973 709498,yes,info@juniper-glos.com,yes,Yes,Jane Eveleigh
K M Cars,"14 Hillcrest Road, Berry Hill, Coleford",GL16 7RG,07533 145672,yes,kevin15-03@hotmail.co.uk,yes,No,
K Teague Tiling & Decor Specialist,"Trishkavin, Tramway Rd, Ruspidge, Nr Cinderford",GL14 3AY,07765 555600,yes,kttiledecorspecialist@hotmail.co.uk,yes,Yes,Amber Sharpe
Kaplan`s Cafe & Bistro,"61 Newerne Street,Lydney",GL15 5RA,veysel.kaplan@virgin,yes,kaplan660@btinternet.com,yes,Yes,Jane Eveleigh
Kay9 Grooming,"95 Ruspidge Road, Cinderford",GL14 3AW,07814 453625,yes,kay9grooming@doglover.com,yes,No,
KCM Window Systems,"Mardene, Hillside Road, Drybrook",GL17 9HN,,yes,,yes,Yes,Amber Sharpe
Kiely Carpets Ltd,"Unit 14 Mead Lane Industrial Estate,Lydney,Glos",GL15 5DA,,yes,kielycarpets@yahoo.co.uk,yes,No,
Kite Education Recruitment,"41 Park View, Sedbury, Chepstow",NP16 7BE,07711 809071,yes,hello@kitesupply.co.uk,yes,Yes,Sam Bray
KJT Residential,"9 High St, Coleford",GL16 8HA,,yes,kjtoombs@btconnect.com,yes,Yes,Jane Eveleigh
Langdons Day Nursery School,"Lower High St,Newnham-on-Severn",GL14 1BE,,yes,ronburton@live.co.uk,yes,No,
Lavender`s Blue Floristry,"3 Churchill Way, Mitcheldean",GL17 0AZ,,yes,mail@lavendersbluefloristry.co.uk,yes,No,
LEL Scaffolding,"30 The Crescent, Mitcheldean",GL17 0SB,07920 520890,yes,lelscaffolding.ltd@outlook.com,yes,Yes,Sam Bray
Light Fantastic DIY Ltd,"Forest Rd,Lydney",GL15 5LB,,yes,sales@lightfantasticdiy.co.uk,yes,No,
Loobys Curtain Craft,"41 High St,Lydney",GL15 5DD,,yes,,yes,No,
Lucky Chinese Takeaway,"4 St John St, Coleford",GL16 8AR,,yes,,yes,No,
Lydney Park Estate,"The Estate Office, Park Farmhouse, Old Park, Lydney",GL15 6BU,,yes,gail.mckernon@lydneyparkestate.co.uk,yes,Yes,Amber Sharpe
M L Higgs,"1 Dean Court, Lydney, Glos",GL15 5TD,07796 902671,yes,mlhiggs54@yahoo.co.uk,yes,Yes,Jane Eveleigh
Maddock Plant Hire & Sales,"The Forest Of Dean Business Estate, Stepbridge Road, Coleford",GL16 8PJ,,yes,gary@maddockhire.co.uk,yes,Yes,Jane Eveleigh
MAK Plumbing & Heating Ltd,"Oak Tree Cottage, Royal Oak Road, The Pludds, Ruardean",GL17 9UG,07764 568323,yes,kerry.ksb27@icloud.com,yes,Yes,Jane Eveleigh
Marcus Bristow,"Unicorn House,Market Place,Coleford",GL16 8AA,,yes,,yes,No,
Meek. John,"12 Northwood Close, Cinderford",GL14 2QS,,yes,lesley.meek@icloud.com,yes,No,
Miarose Lydney Day Nursery,"Lydney Park Estate, Lydney, Glos",GL15 6BU,,yes,paul.cornock@miarosenurseries.co.uk,yes,No,
Millingbrook Lodge,"High Street, Aylburton",GL15 6DE,07463 716704,yes,info.millingbrooklodge@yahoo.co.uk,yes,No,
Monmouthshire Conservatory Company,"Pengethley Garden Centre, Peterstow, Ross-on-Wye",HR9 6LL,,no,info@monmouthshireconservatorycompany.co.uk,no,Yes,Sam Bray
Mr H Property Maintenance,"11 Butlers Mead, Blakeney",GL15 4EH,07826 547030,yes,info@mrhpm.co.uk,yes,Yes,Jane Eveleigh
MYWEB2GO,"35 Springfield Drive,Cinderford",GL14 2TE,07854 592259,yes,meave@myweb2go.co.uk,yes,No,
NH Motors,"The Clusters, Brook Street, Blakeney",GL15 4EA,,yes,,yes,No,
Nice Blinds,"5 Eastern Way,Ruspidge,Cinderford,Glos",GL14 3AF,,yes,gwynnepaul@aol.com,yes,No,
Nicholas Terry Estate Agents,"The Archway, Newerne Street, Lydney",GL15 5RF,,yes,nick@ntproperty.co.uk,yes,Yes,Jane Eveleigh
Nigel Preest Builders,"Deanfield, Folly Rd, Parkend",GL15 4JF,,yes,deanfieldbb@aol.com,yes,Yes,Jane Eveleigh
OJR Building Plumbing & Electrics,"Forest View, Chapel Road, Viney Hill, Lydney",GL15 4NU,07775 924051,yes,ollyrickards@hotmail.co.uk,yes,Yes,Jane Eveleigh
Okells With FrancisLaw LLP,"Oakfield, Hill St, Lydney",GL15 5HE,,no,lcollins@okells-law.co.uk,no,Yes,Amber Sharpe
Ovenpig,"14 Tudor Walk, Berry Hill, Coleford",GL16 7AE,07951 516161,yes,info@ovenpig.co.uk,yes,No,
P & P Pest Control Ltd,"Fernybank, Quarry Rd, Clydach, Abergavenny",NP7 0RR,07815 123619,no,Rebecca.pritchard@pandppestcontrol.co.uk,no,Yes,Joanne Collins
Parkend Nursery,"Yorkley Rd, Parkend, Lydney, Glos",GL15 4HL,,yes,paul.cornock@miarosenurseries.co.uk,yes,No,
Parkway Plastering,"Horizon, Stanford Road, Lydney",GL15 5HR,07984 072431,yes,parkwayplastering@hotmail.com,yes,No,
Parry Wm & Sons,"The Yard, St Briavels",GL15 6TG,07730 437552,yes,wmparry.sons@outlook.com,yes,No,
Paul Williams Plumbing & Heating Ltd,"25 St Whites Road, Cinderford",GL14 3DB,07747 103141,yes,style2477@gmail.com,yes,Yes,Jane Eveleigh
Perrett. J A,"Sunray, Oakwood Road, Bream",GL15 6H5,07766 873893,yes,jamieperrett@btinternet.com,yes,No,
Pilkington & White Estate Agents,"The White House, 69 Newerne St, Lydney",GL15 5RA,,yes,info@pilkington-white.co.uk,yes,Yes,Jane Eveleigh
Pitman Blackstock White Solicitors,"Hill St, Lydney, Glos",GL15 5HD,,yes,sue.white@pbwsolicitors.co.uk,yes,Yes,Amber Sharpe
Poppies,"1 Forest Parade, Lydney",GL15 5HJ,,yes,poppiesoflydney@btinternet.com,yes,Yes,Amber Sharpe
Pritchard. Andy,"11 Council Villas,Clearwell,Nr Coleford",GL16 8LE,07789 167182,yes,,yes,No,
Pritchard. F,"High Tor, Morse Road, Drybrook",GL17 9AT,,yes,fpritchard@hotmail.co.uk,yes,No,
Pygmy Pinetum Garden Nursery,"Cannop Crossroads, Coleford",GL16 7EQ,,yes,angela@pygmypinetum.co.uk,yes,Yes,Amber Sharpe
Quickskip Recycling,"Unit 18 Thorn Business Pk, Rotherwas Ind Est, Hereford",HR2 6JT,07974 406311,no,lisa@quick-skip.com,no,Yes,Jane Eveleigh
R L Morgan & Sons,"The Yard, Pettycroft, Ruardean",GL17 9XH,07833 308606,yes,,yes,Yes,Amber Sharpe
Raymonds Stores,"1 Boxbush Rd, Coleford",GL16 8DN,,yes,,yes,Yes,Amber Sharpe
RCL Electrical Services (UK) Ltd,"45 Lakeside Ave, Lydney",GL15 5PY,07798 827137,yes,powell804@btinternet.com,yes,Yes,Jane Eveleigh
Rees Electrical & Son,"80 Grove Road, Christchurch, Coleford, Glos",GL16 7AF,07812 059004,yes,daverees@live.com,yes,Yes,Jane Eveleigh
Reflections Hair Salon,"43a High St, Lydney",GL15 5DP,,yes,reflections-hair-lydney@hotmail.com,yes,Yes,Jane Eveleigh
Richard Jackson Plumbing & Heating,"5 Whippington Corner, Staunton, Coleford",GL16 8NT,07723 332519,yes,rjplumbing@hotmail.co.uk,yes,Yes,Jane Eveleigh
Ritmo Tapas Bar,"23 Market Place,Coleford",GL16 8AG,,yes,kaplan660@btinternet.com,yes,No,
RK Performance Parts,"Unit 3 Austech House, Whitecroft",GL15 4PA,07572 383397,yes,rich@rkperformanceparts.com,yes,No,
Rowsan Decorators,"2 Tudor Walk, Berry Hill, Gloucestershire",GL16 7AE,07958 755751,yes,rowsandecorators@gmail.com,yes,Yes,Jane Eveleigh
Royal Forest Kitchens,"17 Pyart Court, Coleford",GL16 8RG,,yes,rfk@btconnect.com,yes,Yes,Jane Eveleigh
Ryelands Electrical Services Ltd,"Unit 7 Stepbridge Road, Coleford, Glos",GL16 8PJ,07899 924913,yes,richard@ryelandselectrical.co.uk,yes,Yes,Jane Eveleigh
Saffron Balti Indian Restaurant & Take Away,"5A Forest Road, Lydney",GL15 5LA,07890 877981,yes,jaymiah86@yahoo.co.uk,no,No,
Sally's Florist,"Manchester House, High St, Bream",GL15 6JN,,yes,sallysflorist@hotmail.co.uk,yes,Yes,Jo Hughes
Saunders. SA,"Broadmeads, Coleford Road, Bream, Nr Lydney",GL15 6ES,07889 676692,no,shaunsaunders1@btconnect.com,no,Yes,Jo Hughes
Scuff Solutions,"Unit 2 Whimsey Ind Est, Cinderford",GL14 3JA,,yes,scuffsolutions@hotmail.co.uk,yes,Yes,Jane Eveleigh
Seal Glass Ltd,"Unit 11 Hollywood Works, Valley Road, Cinderford",GL14 2PD,,yes,sealglass@aol.com,yes,Yes,Jane Eveleigh
Seb Hall Garden Machinery,"Ferndale, Marsh Lane, Coleford",GL16 7NA,,yes,forestdrift@outlook.com,yes,Yes,Amber Sharpe
Severnbank Surgery,"Tutnalls Street, Lydney",GL15 5PF,,yes,ann.farrington@nhs.net,yes,No,
Severnside Veterinary Services Ltd,"1 Tuthill, Lydney",GL15 5PA,,yes,admin@severnsideveterinarygroup.co.uk,yes,Yes,Amber Sharpe
Severnvale Riding LLP,"Tidenham, Chepstow",NP16 7LL,,yes,svec@clara.co.uk,yes,Yes,Amber Sharpe
SF Plastering,"The Cottage Royal Oak Rd The Pludds Ruardene Gloucestershire",GL17 9UG,07871513940,yes,stevenvfrost@hotmail.com,yes,Yes,Jane Eveleigh
Sherry`s Bookkeeping Services,"Rosetree Cottage,Blakeney Hill,Blakeney",GL15 4BS,07853 195845,yes,sherrysbookkeeping@outlook.com,yes,No,
Snippets,"High Street, Bream",GL15 6JS,07506 659002,yes,goosey1505@yahoo.co.uk,yes,No,
Spa Pools Of Chepstow,"Unit 1 Gaerllwyd Barn, Earls Wood, Chepstow",NP16 6AS,07736 070421,yes,hoylavad@aol.com,yes,Yes,Jo Hughes
St Johns Playgroup,"C/o St Johns Cricket Club, Forest Vale Ind Est.",GL14 2PH,07881 456656,yes,St.johnsplaygroup@eygloucestershire.co.uk,yes,No,
Stepwise Podiatry,"C/o Abbey Mill, Tintern, Nr Chepstow",NP16 6SE,07708 092782,yes,shelley@abbeymill.com,yes,Yes,Jo Hughes
Steve Gooch Estate Agents,"The Cross, Mitcheldean, Glos",GL17 0BP,,no,Joanne.stewart@stevegooch.co.uk,no,Yes,Graham Higgins
Sundean Veterinary Group,"9-11 High St, Lydney",GL15 5DP,,yes,rosalind.wadsworth@sundeanvets.co.uk,yes,Yes,Jo Hughes
SWM Insulations Ltd,"Town Station, Hill Street, Lydney, Glos",GL15 5HL,07809 554475,yes,darren@swminsulations.co.uk,yes,Yes,Amber Sharpe
T K Motors (Cinderford) Ltd,"Unit 7 Pavillion Business Park, Cinderford",GL14 2YD,07538 401155,yes,ian.tkmotors@yahoo.co.uk,yes,Yes,Jane Eveleigh
Taurus Crafts,"The Old Park, Lydney Park Est. Lydney",GL15 6BU,,yes,tom@tauruscrafts.co.uk,yes,No,
